names,f1,precision,recall,area_ratio,image_confidence,avg obj conf,avg obj size,stdev obj conf,stdev obj size,avg pred shape,stdev pred shape,range pred shape,counts,swell,swell_frac,num_0.1,num_0.2,num_0.3,num_0.4,num_0.5,num_0.6,num_0.7,num_0.8,num_0.9,label
HT9 33dpa 360C_0011.png,0.459016393,0.666666667,0.35,0.068241345,0.972914547,0.867335238,0.003249588,0.246046957,0.002855057,1.060777411,0.117259849,0.428862997,21,0.235384613,141.4908863,1,1,0,0,1,2,0,0,16,A:  under_over
HT9 33dpa 360C_0014.png,0.791666667,0.703703704,0.904761905,0.129851976,0.992074694,0.84651366,0.004809332,0.258645214,0.005416737,1.010719421,0.004527086,0.018149917,27,0.272170339,38.88307425,1,2,0,1,0,1,1,3,18,A:  under_over
HT9 33dpa 360C_0017.png,0.419753086,0.80952381,0.283333333,0.067729113,0.97676386,0.79063353,0.003225196,0.334757371,0.003395237,1.030168532,0.032386915,0.132106018,21,-0.063999539,-12.98189542,2,3,0,0,0,1,0,0,15,A:  under_over
HT9 33dpa 360C_0026.png,0.714285714,0.625,0.833333333,0.059256178,0.979061389,0.731868766,0.002469007,0.357789963,0.002981436,1.01758661,0.025718113,0.131366521,24,0.043011534,14.29103966,5,1,1,0,0,0,2,2,13,A:  under_over
HT9 33dpa 360C_0034.png,0.514285714,0.5,0.529411765,0.057140326,0.952714112,0.915267309,0.003174463,0.191629695,0.004083755,1.019010329,0.020636148,0.080689363,18,0.050447231,15.79211739,0,1,0,0,1,0,1,0,15,A:  under_over
HT9 33dpa 360C_0035.png,0.763157895,0.878787879,0.674418605,0.056388086,0.976426264,0.936843063,0.000341746,0.179197157,0.000240968,1.016604672,0.025242825,0.288995815,165,-0.413487724,-34.82337401,1,4,2,4,2,1,3,5,143,A:  under_over
HT9 33dpa 360C_0044.png,0.217391304,0.277777778,0.178571429,0.019024717,0.952155968,0.751983317,0.001056929,0.35522141,0.001732143,1.020170929,0.016656201,0.060565833,18,-0.003632731,-4.2392231,3,1,1,0,1,0,0,0,12,A:  under_over
HT9 33dpa 360C_0045.png,0.804664723,0.836363636,0.775280899,0.056388086,0.976426264,0.936843063,0.000341746,0.179197157,0.000240968,1.016604672,0.025242825,0.288995815,165,-0.306143665,-28.34554574,1,4,2,4,2,1,3,5,143,A:  under_over
"T-X=0.2, 503.9nm.png",0.486486486,0.45,0.529411765,0.042818855,0.980794851,0.873383376,0.002140943,0.285672909,0.004376607,1.015952778,0.024781313,0.117672224,20,-0.378294364,-25.3541741,2,1,0,0,0,0,0,0,17,A:  under_over
"T-X=10.6, 2962.3nm.png",0.593406593,0.75,0.490909091,0.064079085,0.978026226,0.934918329,0.001779975,0.17311274,0.003726048,1.015541085,0.030347097,0.188820943,36,-1.292911054,-46.80089721,1,0,0,1,0,1,1,1,31,A:  under_over
"T-X=10.6, 503.9nm.png",0.732673267,0.711538462,0.755102041,0.061699493,0.917234517,0.920349467,0.001186529,0.21687265,0.002852065,1.019261082,0.033032699,0.227252786,52,-0.32022954,-20.80000589,3,0,0,2,0,0,0,3,44,A:  under_over
"T-X=20.8, 503.9nm.png",0.775510204,0.678571429,0.904761905,0.040867238,0.907585719,0.85274353,0.001459544,0.292114949,0.003278057,1.014938541,0.024486019,0.13440826,28,-0.34834383,-25.38193545,3,1,0,0,0,1,1,1,21,A:  under_over
100dpa Voids2 over 512.png,0.058823529,0.434782609,0.031545741,0.007199467,0.504079176,0.494457949,0.00031302,0.338221983,0.000171764,1.031598876,0.010460544,0.038802482,23,-0.106126211,-90.86335223,8,2,2,0,2,1,1,3,4,A:  under_over
5-3 1um.png,0.1875,1,0.103448276,0.002487477,0.997398798,0.995592872,0.000829159,0.005322288,0.000582351,1.011311279,0.002286724,0.005255896,3,-0.029300742,-87.85442399,0,0,0,0,0,0,0,0,3,A:  under_over
5-4 2um.png,0.142857143,0.333333333,0.090909091,0.002980847,0.914644311,0.852656543,0.000993616,0.207181059,0.000307665,1.01423776,0.005073215,0.012413582,3,-0.012208073,-70.53844342,0,0,0,0,1,0,0,0,2,A:  under_over
CTEM 150kx c1 a0b0 _0006.png,0.117647059,0.571428571,0.06557377,0.005576011,0.758166396,0.689204133,0.000796573,0.32665446,0.000657458,1.009525378,0.004106232,0.013752174,7,-0.15120114,-83.56070436,1,1,0,0,0,0,2,0,3,A:  under_over
CTEM 150kx c1 a0b0 _0014.png,0.226415094,0.5,0.146341463,0.007372909,0.783376301,0.739005332,0.000614409,0.34815253,0.000292627,1.014437625,0.021708029,0.081761477,12,-0.099310229,-76.1117818,2,1,0,0,1,0,0,1,7,A:  under_over
CTEM 150kx c1 a0b0 _0024.png,0.292134831,0.764705882,0.180555556,0.013182678,0.877975556,0.792815115,0.000775452,0.27073235,0.000411264,1.015458904,0.014955549,0.058809042,17,-0.191629451,-75.23165855,1,1,0,1,0,2,2,0,10,A:  under_over
CTEM 150kx c1 a0b0 _0034.png,0.357142857,0.789473684,0.230769231,0.018045741,0.812803271,0.71601856,0.000949776,0.352751984,0.000523473,1.017602718,0.023596999,0.10214201,19,-0.324616493,-76.5130454,3,1,1,2,0,1,0,0,11,A:  under_over
CTEM 150kx c1 a0b0 _0044.png,0.722891566,0.967741935,0.576923077,0.065994389,0.97195042,0.966315872,0.002128851,0.133937376,0.00112316,1.013160145,0.026561027,0.150208858,31,-0.122838655,-18.29798809,0,1,0,0,0,1,0,0,29,A:  under_over
CTEM 150kx c1 a0b0 _0062.png,0.607142857,1,0.435897436,0.022469426,0.979831756,0.954306338,0.001321731,0.167390593,0.000704774,1.008225023,0.004428497,0.016934151,17,-0.132285983,-48.39327829,0,1,0,0,0,0,0,0,16,A:  under_over
CTEM BF 150 kx area2 a0b0_0021.png,0.52173913,0.666666667,0.428571429,0.009883709,0.916103247,0.846984673,0.00109819,0.268627155,0.000771699,1.011159655,0.011666379,0.039596434,9,-0.060261757,-50.25312828,1,0,0,0,0,0,1,1,6,A:  under_over
HT9 33dpa 360C_0023.png,0.4,0.740740741,0.273972603,0.060783008,0.96642707,0.76248679,0.002251223,0.346161617,0.002475916,1.033041912,0.058396811,0.257919667,27,-0.025548972,-7.366200391,4,1,2,1,0,1,0,0,18,A:  under_over
10 200K -1um.png,0.403846154,0.875,0.2625,0.024511831,0.952938144,0.93263004,0.001021326,0.223443551,0.000672213,1.013320915,0.016466016,0.085191864,24,-0.032705706,-38.35021939,1,1,0,0,0,0,0,0,22,A:  under_under
10 59K.png,0.542857143,0.730769231,0.431818182,0.014945395,0.957066582,0.922470586,0.000287411,0.181759,0.000313615,1.030550335,0.03226181,0.238969939,52,-0.019439399,-24.20709191,1,0,1,1,2,0,2,3,42,A:  under_under
100dpa Voids2 under 512.png,0.795918367,0.844765343,0.752411576,0.061058243,0.892015656,0.87732616,0.000220427,0.230748596,6.74E-05,1.028357668,0.011833533,0.086037196,277,-0.058015507,-44.04496476,9,7,6,7,8,9,13,12,206,A:  under_under
2_-1um 200K x362.35 y70.68 z20.42.png,0.868421053,0.942857143,0.804878049,0.089415289,0.970909543,0.932226574,0.002554723,0.207093803,0.00411173,1.02253116,0.037313998,0.184964293,35,0.002814631,0.515781611,1,0,2,0,0,0,0,1,31,A:  under_under
4 59K.png,0.474576271,0.777777778,0.341463415,0.01268948,0.912328885,0.821255514,0.000704971,0.298475666,0.000562687,1.025872738,0.02989327,0.108470509,18,-0.060814566,-45.2159107,1,1,1,1,0,0,1,0,13,A:  under_under
4-2 115K -1um.png,0.802919708,0.846153846,0.763888889,0.060547293,0.963060215,0.891788966,0.000931497,0.250997576,0.001393145,1.025288176,0.028040669,0.184227203,65,-0.116426157,-27.29868728,4,1,2,0,2,0,0,4,52,A:  under_under
4-3 155K -1um.png,0.75862069,0.814814815,0.709677419,0.030904622,0.959332624,0.859942751,0.001144616,0.273701498,0.003049415,1.025257427,0.043972028,0.241792174,27,-0.03412789,-14.53378118,1,1,3,0,0,0,1,0,21,A:  under_under
5-2 93K -1um.png,0.8,0.814814815,0.785714286,0.070579452,0.993348419,0.938052655,0.001307027,0.187671513,0.001537826,1.028361882,0.043350654,0.279768688,54,-0.190703642,-28.92363224,1,1,1,1,0,0,0,3,47,A:  under_under
5-3 59K -1um.png,0.850241546,0.888888889,0.814814815,0.082764296,0.96648134,0.93339939,0.000836003,0.209685276,0.000616113,1.026264297,0.03244194,0.187898013,99,-0.3328026,-37.51434619,4,2,1,0,1,0,2,0,89,A:  under_under
5_115K.png,0.853333333,0.864864865,0.842105263,0.08788354,0.922497012,0.895819684,0.002375231,0.264251752,0.001886979,1.022402723,0.037610979,0.173588559,37,-0.297077887,-35.88838219,3,1,0,1,0,0,0,0,32,A:  under_under
5_78K.png,0.785714286,0.820895522,0.753424658,0.06585949,0.981482557,0.924784918,0.000982977,0.217615378,0.000858442,1.01949927,0.017283651,0.092294043,67,-0.328254868,-46.35897076,2,2,1,2,0,0,0,0,60,A:  under_under
9_200K.png,0.545454545,0.888888889,0.393442623,0.035591216,0.989256515,0.967926751,0.001318193,0.14936066,0.002251816,1.019796053,0.034090665,0.175590707,27,-0.095776939,-41.16021585,0,1,0,0,0,0,0,0,26,A:  under_under
9_93K.png,0.763636364,0.777777778,0.75,0.052669864,0.969513119,0.932861362,0.000975368,0.17551408,0.000709756,1.015418357,0.012778663,0.073037401,54,-0.110418716,-31.63518599,0,2,0,1,1,0,2,2,46,A:  under_under
CTEM 150kx c1 a0b0 _0015.png,0.8,0.716981132,0.904761905,0.048736359,0.95043835,0.948996649,0.000919554,0.162675718,0.00066929,1.01954474,0.02445198,0.115520501,53,-0.088306524,-23.54001752,0,2,0,0,1,1,0,2,47,A:  under_under
CTEM 150kx c1 a0b0 _0026.png,0.853333333,0.820512821,0.888888889,0.03529373,0.967445111,0.961745796,0.000452484,0.133538823,0.000302228,1.010872927,0.007637917,0.062733469,78,-0.206469836,-60.00414235,1,0,0,1,1,2,0,2,71,A:  under_under
CTEM 150kx c1 a0b0 _0047.png,0.910569106,0.965517241,0.861538462,0.037970617,0.983768666,0.970735641,0.000654666,0.144768915,0.000546327,1.00873555,0.003895983,0.018442907,58,-0.141422734,-42.45695656,1,1,0,0,0,0,0,0,56,A:  under_under
HT9 33dpa 360C_0031.png,0.578125,0.973684211,0.411111111,0.057245143,0.891473662,0.923921259,0.001506451,0.196587132,0.002656812,1.016751482,0.019324659,0.102770927,38,-0.133677342,-29.37530773,1,1,0,0,0,3,0,1,32,A:  under_under
cavity1 x362.59 y71.13 z20.42.png,0.791208791,0.818181818,0.765957447,0.054749045,0.970101995,0.92702265,0.001244296,0.204615688,0.001358589,1.019143448,0.017498118,0.102982719,44,-0.070576074,-30.81637649,1,1,1,1,0,0,1,1,38,A:  under_under
01.jpg,0.838095238,0.862745098,0.814814815,0.206369756,0.971952741,0.949531231,0.004046466,0.173362297,0.002613524,1.015334701,0.010712187,0.068879873,51,-0.801467788,-34.29729767,1,1,1,0,0,0,0,2,46,B_B
02.jpg,0.894308943,0.916666667,0.873015873,0.410160608,0.943306418,0.921006685,0.00683601,0.225109809,0.004663942,1.013369421,0.009385427,0.061409523,60,-1.299220938,-23.91942099,3,1,1,0,0,1,0,1,53,B_B
03.jpg,0.75862069,0.634615385,0.942857143,0.540802534,0.930571514,0.91801211,0.010400049,0.189709985,0.008479506,1.017790963,0.017981991,0.093765788,52,2.738949227,60.98492507,0,2,1,0,1,3,0,2,43,B_B
04.jpg,0.748201439,0.712328767,0.787878788,0.409957099,0.966898783,0.946147735,0.005615851,0.165080852,0.005557017,1.019529075,0.017657147,0.090138358,73,-0.692875416,-14.12048275,1,0,1,2,0,3,0,0,66,B_B
05.jpg,0.852941176,0.828571429,0.878787879,0.516174159,0.967969545,0.957303775,0.007373917,0.159247073,0.00779804,1.013654222,0.010387054,0.082643862,70,-0.33250784,-5.010611799,1,1,1,0,0,1,0,1,65,B_B
06.jpg,0.862385321,0.87037037,0.854545455,0.276448809,0.976956884,0.959651635,0.005119422,0.109883281,0.003850071,1.013382503,0.006167306,0.038967011,54,-0.40624379,-14.42839435,0,0,0,1,1,1,1,3,47,B_B
07.jpg,0.901960784,0.884615385,0.92,0.178665634,0.979420207,0.940613897,0.006871755,0.189322907,0.007429663,1.015151802,0.011227659,0.050241071,26,-0.073289374,-3.519707811,1,0,0,0,1,0,1,0,23,B_B
08.jpg,0.873239437,0.939393939,0.815789474,0.188677838,0.988715245,0.984017876,0.00571751,0.084687163,0.00484185,1.014435519,0.009871489,0.054570874,33,0.077108217,4.536633682,0,0,0,0,1,0,0,0,32,B_B
09.jpg,0.842975207,0.836065574,0.85,0.273296085,0.965618928,0.945207519,0.004480264,0.168302099,0.003799986,1.016444964,0.011133761,0.078194979,61,-0.099094135,-4.295129286,0,2,1,0,1,1,0,1,55,B_B
